File Name,Duplicates Removed,Columns Normalized
Area_Average_Yield_and_Production_of_Potatoes_PEI.docx.csv,0,"['Year', 'Seeded Area (Acres)', 'Harvested Area (Acres)', 'Average Yield (Cwt/Harvested Acre)', 'Production (Thousand Cwt)']"
Assessing_Future_Climate_Change_Impacts_on_Potato_Yields.docx.csv,0,"['Clay (%)', 'Silt (%)', 'Org. C.\n(%)', 'BD\n(Mg·m−3)', 'pH', 'DUL', 'SWC', 'SHC\n(cm·h)', 'RGF', 'LL']"
Changes_in_soil_organic_matter_over_18_years_in_Prince_Edward_Island.docx.csv,0,"['Cycles', 'Count', 'Mean']"
Characterizing_Potato_Yield_Responses_to_Water_Supply_in_Atlantic_Canada.docx.csv,0,"['Year', 'Variety_Aggregated_Yield_Mg_per_ha', 'RB_Yield_Mg_per_ha', 'Jun_Sep_Precipitation_mm', 'ETc_mm', 'Jun_Sep_Water_Deficiency_Excess_mm', 'Annual_Precipitation_mm']"
Climate_change_impacts_on_precipitation_and_temperature_in_PEI.docx.csv,1,[]
Corrected_Climate_change_impacts.csv,1,[]
Crop scouting using UAV imagery a case study for potatoes.csv,0,"['Wet Biomass (Linear)', 'Dry Biomass (Linear)', 'Chlorophyll Content (Linear)', 'Vegetation Cover (Linear)', 'Wet Biomass (Logarithmic)', 'Dry Biomass (Logarithmic)', 'Chlorophyll Content (Logarithmic)', 'Vegetation Cover (Logarithmic)']"
Determining_Phosphorus_Fertilization_Requirements_for_Potatoes_based_on_Phosphorus_Saturation_Index_for_PEI.docx.csv,0,"['P-Saturation Index Min', 'P-Saturation Index Max', 'Updated P Min', 'Updated P Max', 'Updated P Midpoint', 'P Savings Min', 'P Savings Max', 'P Savings Midpoint']"
Fertilizer_Application.csv,0,[]
Fungicides.csv,0,[]
Herbicides.csv,0,[]
Irrigation_Scheduling.csv,0,[]
Mapping_crop_evapotranspiration_with_high_resolution_imagery_and_meteorological_data.docx.csv,0,"['Unnamed: 1', 'Column1', 'Column2']"
missing_values_summary.csv,0,['Total Missing Values']
missing_values_summary_cleaned.csv,0,"['Total Missing Values (Before)', 'Total Missing Values (After)']"
MTD_MSIL2A.csv,0,"['n1:Level-2A_User_Product', 'n1:General_Info', 'Product_Info', 'PROCESSING_BASELINE', 'Datatake', 'SENSING_ORBIT_NUMBER', 'Query_Options', 'Product_Organisation', 'Granule_List', 'Granule', 'Product_Image_Characteristics', 'Special_Values', 'SPECIAL_VALUE_INDEX', 'Image_Display_Order', 'RED_CHANNEL', 'GREEN_CHANNEL', 'BLUE_CHANNEL', 'QUANTIFICATION_VALUES_LIST', 'BOA_QUANTIFICATION_VALUE', 'AOT_QUANTIFICATION_VALUE', 'WVP_QUANTIFICATION_VALUE', 'BOA_ADD_OFFSET_VALUES_LIST', 'BOA_ADD_OFFSET', 'band_id', 'Reflectance_Conversion', 'U', 'Solar_Irradiance_List', 'SOLAR_IRRADIANCE', 'bandId', 'Spectral_Information_List', 'Spectral_Information', 'bandId.1', 'RESOLUTION', 'Wavelength', 'MIN', 'MAX', 'CENTRAL', 'Spectral_Response', 'STEP', 'PHYSICAL_GAINS', 'bandId.2', 'Scene_Classification_List', 'Scene_Classification_ID', 'SCENE_CLASSIFICATION_INDEX', 'n1:Geometric_Info', 'Product_Footprint', 'Product_Footprint.1', 'Global_Footprint', 'PIXEL_ORIGIN', 'Coordinate_Reference_System', 'version', 'n1:Auxiliary_Data_Info', 'GIPP_List', 'version.1', 'GRI_List', 'LUT_List', 'LUT_FILENAME', 'n1:Quality_Indicators_Info', 'Cloud_Coverage_Assessment', 'Technical_Quality_Assessment', 'DEGRADED_ANC_DATA_PERCENTAGE', 'DEGRADED_MSI_DATA_PERCENTAGE', 'Quality_Control_Checks', 'Quality_Inspections', 'Failed_Inspections', 'Image_Content_QI', 'CLOUDY_PIXEL_OVER_LAND_PERCENTAGE', 'NODATA_PIXEL_PERCENTAGE', 'SATURATED_DEFECTIVE_PIXEL_PERCENTAGE', 'CAST_SHADOW_PERCENTAGE', 'CLOUD_SHADOW_PERCENTAGE', 'VEGETATION_PERCENTAGE', 'NOT_VEGETATED_PERCENTAGE', 'WATER_PERCENTAGE', 'UNCLASSIFIED_PERCENTAGE', 'MEDIUM_PROBA_CLOUDS_PERCENTAGE', 'HIGH_PROBA_CLOUDS_PERCENTAGE', 'THIN_CIRRUS_PERCENTAGE', 'SNOW_ICE_PERCENTAGE', 'RADIATIVE_TRANSFER_ACCURACY', 'WATER_VAPOUR_RETRIEVAL_ACCURACY', 'AOT_RETRIEVAL_ACCURACY', 'GRANULE_MEAN_AOT', 'GRANULE_MEAN_WV', 'OZONE_VALUE']"
Nutrient_Management_in_PEI_Potato_Production.docx.csv,0,['Value']
Phosphorus_Saturation_Index.csv,0,[]
Potato_Market_Information_Review.docx.csv,0,[]
Seed_Piece_Treatments.csv,0,[]
Soil_Organic_Matter_Trends.csv,0,['Value 1']
Supplemental_Irrigation_Scheduling_for_Potato_Production.docx.csv,0,[]
The_Prince_Edward_Island_Potato_Sector.docx.csv,0,"['Direct Contribution', 'Indirect Contribution', 'Induced Contribution', 'Total Contribution']"
